SalesDate,Volume,AvgTemperature,BrandPriceSegment,Cloc,TouristicPotential,MalePopulationPercentage,AvgIncome,DayOfWeek,IsInSeason,IsLegalHoliday,Trimester
2019-05-29,85.214,19.09999999999998,,,16639.0,49.796440000000054,2522.0,4,True,False,2
2019-05-30,134.4184,17.20000000000003,,,16639.0,49.796440000000054,2522.0,5,True,False,2
2019-05-31,223.32019999999991,17.300000000000054,,,16639.0,49.79644000000007,2522.0,6,True,False,2
2019-06-01,0.8520000000000001,16.5,,,22428.0,49.79644,2496.0,7,True,True,2
2019-06-03,55.51749999999999,18.799999999999997,,,22428.0,49.796440000000025,2496.0,2,True,False,2
2019-06-04,130.9742,19.799999999999972,,,22428.0,49.796440000000054,2496.0,3,True,False,2
2019-06-05,118.52819999999998,17.799999999999972,,,22428.0,49.796440000000054,2496.0,4,True,False,2
2019-06-06,79.67219999999999,17.70000000000002,,,22428.0,49.79644000000005,2496.0,5,True,False,2
2019-06-07,113.22729999999993,19.099999999999966,,,22428.0,49.79644000000006,2496.0,6,True,False,2
2019-06-08,63.349799999999966,21.200000000000024,,,22428.0,49.79644000000005,2496.0,7,True,False,2
2019-06-10,157.92059999999998,20.899999999999984,,,22428.0,49.79644000000003,2496.0,2,True,False,2
2019-06-11,130.25659999999996,22.0,,,22428.0,49.796440000000054,2496.0,3,True,False,2
2019-06-12,137.26979999999998,23.200000000000003,,,22428.0,49.796440000000054,2496.0,4,True,False,2
2019-06-13,194.95819999999992,23.599999999999945,,,22428.0,49.79644000000006,2496.0,5,True,False,2
2019-06-14,197.22720000000004,23.30000000000005,,,22428.0,49.79644000000006,2496.0,6,True,False,2
2019-06-15,210.30020000000002,23.400000000000052,,,22428.0,49.79644000000006,2496.0,7,True,False,2
2019-06-18,168.07339999999996,21.799999999999972,,,22428.0,49.796440000000054,2496.0,3,True,False,2
2019-06-19,194.35920000000004,22.200000000000017,,,22428.0,49.796440000000054,2496.0,4,True,False,2
2019-06-20,163.6786,22.09999999999995,,,22428.0,49.79644000000006,2496.0,5,True,False,2
2019-06-21,214.984,21.599999999999945,,,22428.0,49.79644000000006,2496.0,6,True,False,2
2019-06-22,122.81679999999997,21.700000000000028,,,22428.0,49.796440000000054,2496.0,7,True,False,2
2019-06-24,119.1662,23.299999999999983,,,22428.0,49.79644000000003,2496.0,2,True,False,2
2019-06-25,121.30459999999994,25.300000000000022,,,22428.0,49.79644000000006,2496.0,3,True,False,2
2019-06-26,171.48839999999996,24.299999999999997,,,22428.0,49.796440000000054,2496.0,4,True,False,2
2019-06-27,177.17979999999994,21.59999999999995,,,22428.0,49.79644000000006,2496.0,5,True,False,2
2019-06-28,143.66959999999997,20.400000000000045,,,22428.0,49.79644000000006,2496.0,6,True,False,2
2019-06-29,99.41059999999997,17.400000000000027,,,22428.0,49.796440000000054,2496.0,7,True,False,2
2019-07-01,134.0712,22.899999999999984,,,31743.0,49.79644000000003,2546.0,2,True,False,3
2019-07-02,149.9856,25.299999999999994,,,31743.0,49.796440000000054,2546.0,3,True,False,3
2019-07-03,159.62,19.599999999999966,,,31743.0,49.796440000000054,2546.0,4,True,False,3
2019-07-04,113.30340000000002,19.70000000000003,,,31743.0,49.796440000000054,2546.0,5,True,False,3
2019-07-05,148.59700000000004,19.69999999999999,,,31743.0,49.79644000000006,2546.0,6,True,False,3
2019-07-06,72.95439999999999,20.0,,,31743.0,49.79644000000005,2546.0,7,True,False,3
2019-07-08,138.57800000000003,17.899999999999988,,,31743.0,49.796440000000025,2546.0,2,True,False,3
2019-07-09,104.31239999999997,16.59999999999998,,,31743.0,49.796440000000054,2546.0,3,True,False,3
2019-07-10,95.4136,15.099999999999982,,,31743.0,49.796440000000054,2546.0,4,True,False,3
2019-07-11,178.06999999999996,14.200000000000022,,,31743.0,49.796440000000054,2546.0,5,True,False,3
2019-07-12,198.58339999999998,14.900000000000025,,,31743.0,49.79644000000006,2546.0,6,True,False,3
2019-07-13,69.31639999999997,16.5,,,31743.0,49.79644000000005,2546.0,7,True,False,3
2019-07-15,65.791,16.600000000000012,,,31743.0,49.79644000000003,2546.0,2,True,False,3
2019-07-16,292.4038000000001,17.5,,,31743.0,49.796440000000054,2546.0,3,True,False,3
